"date","SUM(cast(new_cases as int))","SUM(cast(new_deaths as int))"
"2020-01-01",9370,197
"2020-02-24",75392,2726
"2020-03-01",783276,44272
"2020-04-01",2446087,205170
"2020-05-01",2905659,154977
"2020-06-01",4316289,144760
"2020-07-01",7118758,175526
"2020-08-01",7942770,183538
"2020-09-01",8506345,164838
"2020-10-01",12121900,182803
"2020-11-01",17312544,279189
"2020-12-01",19531422,356783
"2021-01-01",19545448,421655
"2021-02-01",11253388,311251
"2021-03-01",14850860,300108
"2021-04-01",22547117,379156
"2021-05-01",19698355,379442
"2021-06-01",11472347,271793
"2021-07-01",15731215,261835
"2021-08-01",19893063,300952
"2021-09-01",15938499,265411
"2021-10-01",13064203,217634
"2021-11-01",15681171,216557
"2021-12-01",25605940,221809
"2022-01-01",89649377,238610
"2022-02-01",58251117,278132
"2022-03-01",51329157,180407
"2022-04-01",25223559,86354
"2022-05-01",16261091,51719
"2022-06-01",17729347,43841
"2022-07-01",29645893,61105
"2022-08-01",25165577,75318
"2022-09-01",14733003,51286
"2022-10-01",12801764,45272
"2022-11-01",12390293,44162
"2022-12-01",17225412,56934
"2023-01-01",10271634,141100
"2023-02-01",3313839,28690
