"location","total_deaths_sofar"
United States,1117497
Brazil,698050
India,530761
Russia,387832
Mexico,332839
Peru,219332
United Kingdom,218405
Italy,187850
Germany,167301
France,164781
Indonesia,160886
Iran,144804
Colombia,142296
Argentina,130448
Spain,119186
Ukraine,119142
Poland,118826
South Africa,102595
Turkey,101492
China,87468
Japan,71694
Romania,67650
Philippines,66021
Chile,64085
Canada,51134
Hungary,48738
Vietnam,43186
Czechia,42375
Bulgaria,38204
Malaysia,36956
Ecuador,36008
Greece,34779
Thailand,33902
South Korea,33865
Belgium,33663
Pakistan,30641
Bangladesh,29445
Tunisia,29326
Portugal,26117
Iraq,25375
Egypt,24809
Sweden,23634
Netherlands,23081
Bolivia,22359
Austria,21820
Slovakia,20996
Guatemala,20157
Paraguay,19849
Myanmar,19490
Australia,19265
Kazakhstan,19068
Croatia,17945
Serbia,17771
Taiwan,17520
Georgia,16950
Sri Lanka,16829
Morocco,16296
Bosnia and Herzegovina,16267
Switzerland,14244
Jordan,14122
Hong Kong,13442
Israel,12250
Nepal,12020
Moldova,11964
Honduras,11109
Lebanon,10813
Azerbaijan,10103
North Macedonia,9653
Saudi Arabia,9602
Lithuania,9570
Costa Rica,9195
Finland,8859
Armenia,8719
Ireland,8629
Panama,8600
Cuba,8530
Denmark,8228
Afghanistan,7896
Uruguay,7617
Ethiopia,7572
Belarus,7118
Slovenia,7067
Algeria,6881
Libya,6437
Latvia,6255
Venezuela,5852
Palestine,5708
Kenya,5688
Zimbabwe,5662
Norway,5175
Sudan,5011
Oman,4628
Dominican Republic,4384
Trinidad and Tobago,4336
El Salvador,4230
Namibia,4090
Zambia,4051
Uganda,3630
Albania,3596
Jamaica,3500
Kosovo,3206
Syria,3164
Nigeria,3155
Cambodia,3056
Kyrgyzstan,2991
Estonia,2926
Malawi,2896
Botswana,2876
Montenegro,2800
Kuwait,2570
New Zealand,2534
United Arab Emirates,2349
Mozambique,2237
Yemen,2159
Mongolia,2136
Senegal,1988
Cameroon,1965
Angola,1931
Singapore,1722
Uzbekistan,1637
Bahrain,1548
Rwanda,1468
Democratic Republic of Congo,1464
Ghana,1462
Eswatini,1423
Madagascar,1421
Suriname,1400
Somalia,1361
Guyana,1298
Cyprus,1297
Luxembourg,1214
Mauritius,1044
Mauritania,997
Fiji,883
Haiti,860
Tanzania,846
Cote d'Ivoire,834
Bahamas,833
Malta,826
Laos,758
Mali,743
Lesotho,723
Belize,688
Qatar,686
Papua New Guinea,670
French Polynesia,649
Barbados,573
Guinea,467
Cape Verde,413
Saint Lucia,409
Burkina Faso,396
Congo,388
Gambia,372
Niger,315
New Caledonia,314
Maldives,311
Gabon,306
Curacao,301
Liberia,294
Togo,290
Aruba,282
Nicaragua,245
Iceland,238
Grenada,238
Brunei,225
Chad,194
Djibouti,189
Equatorial Guinea,183
Guinea-Bissau,176
Seychelles,172
Andorra,165
Benin,163
Comoros,161
Bermuda,159
Solomon Islands,153
Antigua and Barbuda,146
Timor,138
South Sudan,138
Sierra Leone,126
Tajikistan,125
Saint Vincent and the Grenadines,123
San Marino,122
Macao,121
Isle of Man,116
Central African Republic,113
Gibraltar,111
Eritrea,103
Liechtenstein,89
Sao Tome and Principe,77
Dominica,74
Monaco,67
British Virgin Islands,64
Micronesia (country),60
Saint Kitts and Nevis,46
Bonaire Sint Eustatius and Saba,41
Turks and Caicos Islands,38
Burundi,38
Cayman Islands,37
Samoa,29
Faeroe Islands,28
Greenland,21
Bhutan,21
Kiribati,18
Marshall Islands,17
Vanuatu,14
Tonga,13
Anguilla,12
Palau,9
Montserrat,8
Wallis and Futuna,7
North Korea,6
Saint Pierre and Miquelon,2
Cook Islands,2
Nauru,1
Western Sahara,
Wales,
Vatican,
United States Virgin Islands,
Tuvalu,
Turkmenistan,
Tokelau,
Sint Maarten (Dutch part),
Scotland,
Saint Helena,
Puerto Rico,
Pitcairn,
Northern Mariana Islands,
Northern Ireland,
Northern Cyprus,
Niue,
Jersey,
Guernsey,
Guam,
Falkland Islands,
England,
